symbol
F
NOK
PFE
SIRI
INTC
CSCO
AMD
QCOM
INSG
HIMX
SNAP
PTON
UPST
ROKU
RBLX
PLTR
DKNG
SOFI
COIN
SQ
ZM
TWLO
DOCU
NET
CRWD
ZS
OKTA
ESTC
MDB
TEAM
HUBS
NOW
SNOW
DDOG
GTLB
S
U
PAYC
WIX
WDAY
DOCN
FROG
GME
AMC
KOSS
GOSS
WEN
BABA
BIDU
JD
PDD
NTES
TCOM
LI
XPEV
NIO
BEKE
ZTO
YMM
VIPS
TME
BILI
IQ
MNSO
DQ
JKS
CSIQ
RUN
SPWR
ENPH
SEDG
FSLR
MAXN
ARRY
NOVA
SHLS
SUNL
PLUG
BLDP
FCEL
BE
HYLN
NKLA
RIDE
GOEV
LCID
RIVN
FUV
MULN
